"l3","l2","mean_beta","sd_beta","lo90_beta","hi90_beta"
"L3-040: Polymerase Chain Reaction Variants","L2-18: Archaeometry & Compositional Analysis",3.2793599673775e-06,0.000283614731367225,-0.00045469128,0.0004646135335
"L3-042: Liquid Chromatography Variants","L2-18: Archaeometry & Compositional Analysis",0.0759270604714418,0.115023980989109,-0.1112050225,0.2652507895
"L3-060: Neutron Activation Analysis","L2-18: Archaeometry & Compositional Analysis",2.26466258603125e-07,0.000286689660227772,-0.000471466231,0.0004673994465
"L3-061: Microscopic Mineralogical Characterization","L2-18: Archaeometry & Compositional Analysis",1.99456860830637e-06,0.000289065596219347,-0.000473846768,0.000477598551499999
"L3-074: X-ray and Neutron Diffraction","L2-18: Archaeometry & Compositional Analysis",-9.10948640607e-07,0.00028736327380619,-0.000471747889,0.000473883875
"L3-077: Raman Spectroscopy Variants","L2-18: Archaeometry & Compositional Analysis",2.58872563358738e-06,0.00028492269964704,-0.000474623498,0.0004751054105
"L3-082: Fourier Transform Infrared Spectroscopy","L2-18: Archaeometry & Compositional Analysis",-9.99567776949675e-07,0.000293952659120693,-0.000488481264,0.000478044782999999
"L3-083: Reflectance and Emission Spectroscopy","L2-18: Archaeometry & Compositional Analysis",9.84548192979663e-07,0.00029582772181743,-0.000485253075,0.0004813397345
"L3-084: Scanning Electron Microscopy with Energy Dispersive Spectroscopy","L2-18: Archaeometry & Compositional Analysis",0.103988117452726,0.174809830749239,-0.184464744,0.3913619625
"L3-085: Microscopic and Microanalytical Methods","L2-18: Archaeometry & Compositional Analysis",0.229559087798338,0.14564914326174,-0.0139485798,0.4674743695
"L3-088: X-ray Fluorescence and Absorption Spectroscopy","L2-18: Archaeometry & Compositional Analysis",-0.22830224014838,0.164706026418318,-0.502266292,0.0405542168499999
"L3-089: X-ray Fluorescence Spectroscopy","L2-18: Archaeometry & Compositional Analysis",-2.16996800301289e-06,0.000291508042947922,-0.000481649533,0.0004691601875
"L3-107: Chemometric and Spectroscopic Analysis","L2-18: Archaeometry & Compositional Analysis",-6.11596670358515e-06,0.000288797882340343,-0.0004780623965,0.000469033605499999
"L3-168: Spectroscopic and Mass Spectrometric Analysis","L2-18: Archaeometry & Compositional Analysis",0.249844145280836,0.205484930743794,-0.0854693685,0.5915926685
"L3-209: Thermogravimetric and Thermal Analysis","L2-18: Archaeometry & Compositional Analysis",2.28013269023687e-06,0.000284559599698006,-0.000466338918,0.0004742625465
"L3-233: Thermal Analysis and Spectroscopy","L2-18: Archaeometry & Compositional Analysis",0.26564961455674,0.147460144077019,0.0281414759,0.5107282775
"L3-234: Differential Spectroscopic Methods","L2-18: Archaeometry & Compositional Analysis",0.219286521554759,0.127406362565518,0.00851792307,0.429204608
"L3-038: Ancient DNA and Population Genomics","L2-19: Isotope & Bioarchaeological Analysis",0.0328037650033636,0.200343945114249,-0.2967849495,0.36168112
"L3-041: DNA Sequencing and Metabarcoding","L2-19: Isotope & Bioarchaeological Analysis",2.58094137300188e-06,0.000284210960397213,-0.0004693337675,0.000472652622
"L3-043: Gas Chromatography Mass Spectrometry","L2-19: Isotope & Bioarchaeological Analysis",-5.45988413660625e-07,0.000289547674450672,-0.0004722673225,0.0004780935085
"L3-044: Mass Spectrometry-Based Proteomics","L2-19: Isotope & Bioarchaeological Analysis",-0.114843889604556,0.125038862548847,-0.320490116,0.09205643615
"L3-064: Bayesian Multi-Source Mixing Models","L2-19: Isotope & Bioarchaeological Analysis",2.55402489245089e-06,0.000288774906765788,-0.0004746772345,0.0004870971545
"L3-065: End Member Mixing Models","L2-19: Isotope & Bioarchaeological Analysis",0.229207403268131,0.175243745612917,-0.05969681525,0.5186410915
"L3-105: Stable Isotope Ratio Analysis","L2-19: Isotope & Bioarchaeological Analysis",0.118021209458672,0.14680906982174,-0.119238056,0.36446609
"L3-121: Particle Size Distribution Analysis","L2-20: Geoarchaeology & Sediment Analysis",-0.261951290067882,0.155903148937123,-0.515848267,-0.00183196370500021
"L3-162: Micromorphological Residue Analysis","L2-20: Geoarchaeology & Sediment Analysis",-3.00216017924863e-06,0.000292783201504619,-0.0004915672695,0.0004742197515
"L3-026: Monte Carlo Simulation Methods","L2-21: Agent-Based Modelling & Simulation",0.222441937933739,0.11169267580397,0.0377107158,0.4078536465
"L3-081: Matrix Population Projection Models","L2-21: Agent-Based Modelling & Simulation",2.39865359513963e-06,0.000291987409311912,-0.0004859277845,0.000484175315
"L3-097: Metaheuristic Optimization Algorithms","L2-21: Agent-Based Modelling & Simulation",2.71833505920694e-06,0.000284490311475436,-0.0004709486325,0.000465451031
"L3-216: Process-Based Simulation Models","L2-21: Agent-Based Modelling & Simulation",3.86978674699637e-06,0.000286491208325754,-0.000471939511,0.0004698749485
"L3-220: Discrete and Agent-Based Simulation","L2-21: Agent-Based Modelling & Simulation",-2.72626682217013e-06,0.000288338255974507,-0.0004823363565,0.00046067986
"L3-231: Qualitative Data Analysis Methods","L2-21: Agent-Based Modelling & Simulation",2.27203250165712e-06,0.000288054142866823,-0.000467755577,0.0004633914945
"L3-037: Network Centrality Metrics","L2-22: Network Analysis & Graph Theory",6.89352142830563e-06,0.000289376028528832,-0.000469629214,0.000480930872499999
"L3-055: Path Analysis and Network Modeling","L2-22: Network Analysis & Graph Theory",-0.117194823109848,0.110676146693341,-0.2979032585,0.0677789532
"L3-079: Graph Structural Analysis","L2-22: Network Analysis & Graph Theory",0.210815848424274,0.0874320612397008,0.0669939065,0.353525404
"L3-080: Network Analysis and Modeling","L2-22: Network Analysis & Graph Theory",0.278291326242921,0.147238598945957,0.04302529945,0.522087644
"L3-091: Bibliometric and Scientometric Mapping","L2-22: Network Analysis & Graph Theory",-6.86894892967875e-06,0.000288408248286442,-0.0004885502955,0.000462024583
"L3-051: Maximum Entropy and Maximum Likelihood Methods","L2-23: Ecological & Palaeoenvironmental Modelling",8.96723428522625e-07,0.00028290668063634,-0.0004708066535,0.000465186805999999
"L3-104: Ecological and Agricultural Suitability Indices","L2-23: Ecological & Palaeoenvironmental Modelling",-0.165880802484963,0.0960620753855638,-0.325081927,-0.0074908773050001
"L3-213: Species Distribution Modeling","L2-23: Ecological & Palaeoenvironmental Modelling",-2.02059259242375e-06,0.000291295525018621,-0.0004691638315,0.000471339227
"L3-219: Numerical Mass and Transport Balance","L2-23: Ecological & Palaeoenvironmental Modelling",0.0943877998221201,0.205741322417498,-0.2425254545,0.434660675
"L3-224: Climate and Building Energy Modeling","L2-23: Ecological & Palaeoenvironmental Modelling",6.5304712812225e-06,0.000284666966085627,-0.000460905866,0.000474736662
"L3-227: Lagrangian Particle Tracking","L2-23: Ecological & Palaeoenvironmental Modelling",0.251650620966492,0.116812228198338,0.06368102275,0.448319349
"L3-090: Multi-Criteria Decision Analysis","L2-24: Visualization & Scientific Communication",6.70497619697662e-06,0.00028265136855271,-0.0004633947335,0.0004638712175
"L3-117: Bivariate Data Visualization","L2-24: Visualization & Scientific Communication",-1.7501001318875e-07,0.000289541868409767,-0.0004703216955,0.000475703065999999
"L3-138: Finite Element and Related Numerical Methods","L2-24: Visualization & Scientific Communication",-1.87582194639325e-06,0.00029139308727603,-0.0004824896165,0.000488359694
"L3-139: Geotechnical Limit Analysis and Constitutive Modeling","L2-24: Visualization & Scientific Communication",-3.38705059732875e-06,0.000283044490898773,-0.0004639425,0.000469659243
"L3-148: Virtual Osteological Reconstruction","L2-24: Visualization & Scientific Communication",0.0209118683868235,0.218714672729001,-0.3348707865,0.383780873
"L3-169: Parametric and Procedural Design","L2-24: Visualization & Scientific Communication",-0.54034514293185,0.155725630965151,-0.7929525215,-0.280526862
"L3-207: Visual Pattern Recognition","L2-24: Visualization & Scientific Communication",-0.115317948461201,0.253561717273023,-0.5344991375,0.2949047605
